
2024/09/22 (18:38:39) | ===> btop++ v.1.3.2
2024/09/22 (18:38:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:38:48) | ===> btop++ v.1.3.2
2024/09/22 (18:38:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:24:20) | ===> btop++ v.1.3.2
2024/09/22 (21:24:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:33:41) | ===> btop++ v.1.3.2
2024/09/22 (22:33:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (19:29:19) | ===> btop++ v.1.4.0
2024/09/23 (19:29:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (21:36:17) | ===> btop++ v.1.4.0
2024/09/25 (21:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (16:45:56) | ===> btop++ v.1.4.0
2024/09/26 (16:45:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (18:40:05) | ===> btop++ v.1.4.0
2024/09/26 (18:40:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (20:39:10) | ===> btop++ v.1.4.0
2024/09/27 (20:39:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (20:39:59) | ===> btop++ v.1.4.0
2024/09/27 (20:39:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (20:41:09) | ===> btop++ v.1.4.0
2024/09/27 (20:41:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (20:41:25) | ===> btop++ v.1.4.0
2024/09/27 (20:41:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:03:36) | ===> btop++ v.1.4.0
2024/09/27 (22:03:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:16:40) | ===> btop++ v.1.4.0
2024/09/27 (22:16:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:34:31) | ===> btop++ v.1.4.0
2024/09/27 (23:34:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:36:17) | ===> btop++ v.1.4.0
2024/09/27 (23:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (18:54:53) | ===> btop++ v.1.4.0
2024/09/28 (18:54:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (19:05:00) | ===> btop++ v.1.4.0
2024/09/28 (19:05:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (20:42:41) | ===> btop++ v.1.4.0
2024/09/28 (20:42:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (20:53:16) | ===> btop++ v.1.4.0
2024/09/28 (20:53:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (03:26:32) | ===> btop++ v.1.4.0
2024/09/29 (03:26:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (04:08:18) | ===> btop++ v.1.4.0
2024/09/29 (04:08:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (19:40:00) | ===> btop++ v.1.4.0
2024/09/29 (19:40:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (21:22:42) | ===> btop++ v.1.4.0
2024/09/29 (21:22:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (22:11:04) | ===> btop++ v.1.4.0
2024/09/29 (22:11:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (22:15:52) | ===> btop++ v.1.4.0
2024/09/29 (22:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (16:28:32) | ===> btop++ v.1.4.0
2024/09/30 (16:28:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (17:02:30) | ===> btop++ v.1.4.0
2024/09/30 (17:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
